genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
classic pakistani pop,0.32,0.437,0.0,-13.057,0.0,0.0411,0.447,0.0,0.279,0.35,81.563,4.0
pop,0.702,0.759,0.0,-3.292,1.0,0.0381,0.16,0.0,0.062,0.761,123.999,4.0
acoustic pop,0.551,0.596,11.0,-8.116,1.0,0.0544,0.128,0.0,0.0679,0.636,169.786,4.0
dutch house,0.722,0.592,9.0,-7.746,1.0,0.0564,0.401,1.31e-06,0.0927,0.438,139.903,4.0
afrobeats,0.729,0.675,8.0,-6.003,1.0,0.0312,0.175,1.58e-06,0.55,0.779,119.968,4.0
filmi,0.649,0.458,4.0,-7.632,0.0,0.0446,0.574,0.0,0.113,0.748,180.071,4.0
gregorian dance,0.605,0.532,1.0,-10.872,0.0,0.0337,0.0919,0.000576,0.0762,0.139,102.804,4.0
gregorian dance,0.69,0.812,1.0,-7.452,0.0,0.0327,0.165,4.15e-05,0.0905,0.251,102.824,4.0
electropop,0.567,0.588,7.0,-8.117,0.0,0.0315,0.149,0.00298,0.126,0.634,79.381,4.0
lo-fi indie,0.433,0.501,3.0,-8.89,1.0,0.0346,0.503,0.0177,0.0945,0.252,204.06,4.0
modern rock,0.38,0.988,1.0,-2.042,1.0,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,4.0
brostep,0.617,0.514,9.0,-7.099,1.0,0.0722,0.0154,0.0,0.118,0.365,81.067,4.0
uk contemporary r&b,0.616,0.699,0.0,-5.398,1.0,0.044,0.0849,0.000689,0.077,0.533,99.956,4.0
desi hip hop,0.727,0.714,2.0,-4.494,1.0,0.0872,0.0209,0.0,0.153,0.618,164.003,4.0
lo-fi jazzhop,0.559,0.354,5.0,-15.523,0.0,0.108,0.895,0.864,0.113,0.371,79.933,4.0
korean r&b,0.636,0.522,3.0,-5.687,1.0,0.127,0.655,0.0,0.124,0.654,83.048,4.0
australian pop,0.559,0.559,11.0,-6.425,1.0,0.0358,0.0145,0.0,0.138,0.338,72.498,4.0
ambient folk,0.49,0.126,1.0,-13.868,1.0,0.0327,0.926,3.36e-06,0.0992,0.102,99.892,3.0
europop,0.719,0.922,11.0,-6.091,1.0,0.0338,0.523,0.000163,0.0867,0.964,133.113,4.0
pop,0.708,0.872,0.0,-5.377,0.0,0.0463,0.0148,0.802,0.0881,0.743,124.996,3.0
