,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
474,brostep,0.536,0.782,2.0,-3.164,0.0,0.0539,0.0498,0.00914,0.0773,0.183,150.131
476,pop,0.699,0.701,1.0,-5.577,1.0,0.0292,0.0195,7.83e-06,0.113,0.309,90.053
478,pop,0.773,0.617,10.0,-7.545,0.0,0.0672,0.0514,8e-06,0.11,0.551,155.026
481,lo-fi study,0.364,0.316,2.0,-13.86,1.0,0.146,0.799,0.917,0.171,0.0381,100.019
483,filmi,0.66,0.926,11.0,-3.452,0.0,0.0296,0.0948,0.0,0.248,0.731,109.997
484,filmi,0.472,0.398,4.0,-8.962,1.0,0.0432,0.425,1.71e-05,0.117,0.261,124.171
487,filmi,0.677,0.848,5.0,-4.584,1.0,0.0313,0.0219,0.000327,0.255,0.843,138.956
492,pop,0.706,0.876,8.0,-3.587,1.0,0.167,0.397,0.0,0.0944,0.44,104.022
494,pop,0.786,0.323,2.0,-8.75,1.0,0.367,0.0478,0.0,0.0878,0.439,176.793
495,alt z,0.607,0.453,1.0,-8.129,1.0,0.0373,0.459,2.4e-05,0.0928,0.345,76.865
499,alt z,0.755,0.529,0.0,-6.066,0.0,0.0986,0.0834,2.77e-05,0.27,0.228,112.035
507,anime,0.686,0.586,7.0,-4.284,1.0,0.0366,0.064,0.0,0.0743,0.578,121.976
509,filmi,0.468,0.91,11.0,-3.057,0.0,0.051,0.12,0.000304,0.271,0.694,163.842
510,filmi,0.354,0.712,3.0,-6.109,0.0,0.0589,0.358,4.19e-05,0.274,0.238,93.345
516,filmi,0.688,0.701,3.0,-7.505,1.0,0.0298,0.06,0.0301,0.271,0.385,110.019
517,filmi,0.603,0.708,4.0,-7.047,0.0,0.0379,0.000173,3.36e-06,0.158,0.611,105.046
518,filmi,0.678,0.771,6.0,-2.849,1.0,0.0266,0.0277,0.00253,0.149,0.462,105.976
522,alternative metal,0.631,0.736,7.0,-6.96,0.0,0.0682,0.0336,0.0124,0.3,0.645,95.091
523,alternative metal,0.474,0.301,5.0,-20.233,1.0,0.0973,0.993,1.14e-05,0.545,0.962,130.985
524,alternative metal,0.0,0.305,11.0,-21.081,0.0,0.0,0.992,0.0,0.589,0.0,0.0
530,singer-songwriter pop,0.617,0.38,9.0,-9.275,1.0,0.0361,0.018,0.0,0.112,0.192,116.961
531,alt z,0.51,0.229,6.0,-11.394,1.0,0.0352,0.86,3.03e-05,0.118,0.107,93.309
539,alt z,0.638,0.293,3.0,-11.703,1.0,0.0478,0.342,0.000624,0.448,0.488,155.083
541,alt z,0.773,0.437,9.0,-8.281,1.0,0.0963,0.836,2.42e-05,0.544,0.707,103.861
542,pop,0.637,0.853,4.0,-4.014,1.0,0.0853,0.2,0.0,0.311,0.648,162.093
543,alt z,0.732,0.221,6.0,-12.623,1.0,0.056,0.897,2.62e-05,0.11,0.677,105.165
547,alt z,0.55,0.591,1.0,-6.833,1.0,0.0377,0.00692,0.0,0.11,0.308,78.68
550,alt z,0.828,0.349,6.0,-9.96,0.0,0.17,0.647,1.57e-05,0.105,0.282,130.074
552,pop,0.532,0.623,5.0,-9.208,1.0,0.0331,0.538,7.28e-05,0.0925,0.403,89.937
553,alt z,0.636,0.864,11.0,-3.919,1.0,0.0491,0.0314,0.0,0.102,0.892,160.009
555,pop,0.592,0.777,9.0,-5.001,1.0,0.258,0.0948,0.0,0.18,0.404,154.939
556,alt z,0.692,0.431,6.0,-11.884,1.0,0.0335,0.305,1.39e-05,0.132,0.327,138.925
561,alt z,0.765,0.663,0.0,-5.223,1.0,0.0652,0.141,0.000297,0.0924,0.686,150.091
565,singer-songwriter pop,0.485,0.139,0.0,-12.416,1.0,0.0663,0.847,0.0,0.11,0.236,151.322
